bigram;freq
yi;0.511291705
yl;0.464870923
ym;0.368521802
yn;0.531725794
yo;0.804541321
yp;0.302139696
ys;0.58798593
yt;0.450145811
yw;0.293655242
ze;0.462879782
zl;0.284491334
zz;0.284491334
